Time BB PB PL PS MA SG ZS ZM ZL ZG AUR SQX BMD BD BG BMS DUN BML PWN BFF BIV GEC BC HEP HEC FPS POP CHY CHS CSY CSS CSN CDS CNY CNS CHC CYE CKS CRH CRW CRC COH COS COD COY COR CDR CMS CMF CMH PIS SAL SAF FMM FVS ROC MRO DVR MVR SMD FDF HAP DOG SBL SSK RAT SB SP BE HSL CSL PIN PHR ROR TOR HUW DL DR DC DIN RelBB RelPB RelPL RelPS RelMA RelSG RelZS RelZM RelZL RelZG RelAUR RelSQX RelBMD RelBD RelBG RelBMS RelDUN RelBML RelPWN RelBFF RelBIV RelGEC RelBC RelHEP RelHEC RelFPS RelPOP RelCHY RelCHS RelCSY RelCSS RelCSN RelCDS RelCNY RelCNS RelCHC RelCYE RelCKS RelCRH RelCRW RelCRC RelCOH RelCOS RelCOD RelCOY RelCOR RelCDR RelCMS RelCMF RelCMH RelPIS RelSAL RelSAF RelFMM RelFVS RelROC RelMRO RelDVR RelMVR RelSMD RelFDF RelHAP RelDOG RelSBL RelSSK RelRAT RelSB RelSP RelBE RelHSL RelCSL RelPIN RelPHR RelROR RelTOR RelHUW RelDL RelDR RelDC RelDIN MigHEP MigHEC MigCHY MigCHS MigCSY MigCSS MigCSN MigCDS MigCNY MigCNS MigCHC MigCYE MigCKS MigCOH MigCOS MigCOD MigCOY MigCMS MigCMF MigCMH MigPIS MigSAL MigSAF MigDOG MigBE MigCSL MigPIN MigROR MigTOR MigHUW PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+00 4203673.546511 706756.650661 147529.819788 7764.727358 68939.953325 12321.350519 1938.294015 10174.037670 3498.515537 142197.731833 142197.731833 3885.554883 69339.773589 235904.416547 950.930627 328.893585 21915.305602 9703.951738 2659.177476 11969.167877 397270.970594 206257.591068 154708.989274 12844.087590 1477.782916 7021.646638 1058.334343 56.346629 4046.635836 29.904363 416.560522 35.685509 17.050489 0.076844 10.831882 47.364719 4.321938 147.983794 6.543889 431.208749 1388.199902 669.551584 454.973573 4.913873 1879.242640 226.766353 0.639007 41177.879870 73834.741617 551.198685 18428.864456 878.045259 16546.386859 20672.256915 1433.674498 2374.712712 6318.839138 218.278614 208.428822 4329.988941 27590.346559 9481.364681 7918.619923 6.746502 3191.748172 62407.766424 55.210770 44.461083 10.656000 510.351985 408.549000 23.139005 542.850429 447.542152 193.722121 506.080422 0.000000 2626.461044 110853.973859 45939.182293 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 2.701666 2.704030 2.294893 2.502916 2.496620 2.647891 2.391032 2.791752 2.060066 3.352162 2.703317 1.000000 1.000000 1.000000 1.078578 1.177846 1.393424 1.212955 1.000000 1.000000 1.478458 1.389021 1.478451 1.000000 1.465654 2.704051 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.005720 1.004848 1.167063 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 50.346241 3645.406774 23.985566 358.292542 30.680931 15.518922 0.065316 9.961500 41.577443 4.023471 133.312332 142.486312 117.394656 2.372533 563.802470 38938.765533 70360.155857 521.223017 5779.594321 720.499720 14905.792123 0.000000 0.000000 0.000000 0.000000 447.542152 193.722121 506.080422 0.000000 0.000000 0.000000 0.000000 -308.390507 3.417467
7.300000e+01 4197755.144208 727302.626005 888049.988973 75813.344820 727892.398637 12595.426293 191.109397 9477.780353 2761.775004 140103.722948 140103.722948 4233.608136 68169.220184 229094.103951 1106.423826 667.189568 23971.263323 9567.605167 2656.078448 14572.296089 394903.548783 209600.107280 152430.300079 9875.926635 1116.421954 7265.688775 820.229635 260.591001 10589.221980 95.086581 1006.428484 63.723059 49.922877 0.599904 17790.157578 64964.161143 9.964489 214.582254 3869.020698 2725.309363 2690.984726 15986.154076 8317.650397 402.552088 20647.436872 2917.132226 21.628101 47774.063240 83111.682820 674.729059 80052.740491 914.107088 21160.457288 15026.108416 1065.946364 1638.137702 4653.893141 154.484017 143.656668 5764.646931 26928.642801 7761.446755 6804.575297 8.640468 2469.675164 53064.188549 57.356912 51.044743 10.175786 552.335885 444.152724 23.355993 548.468649 447.235812 194.055218 439.225489 7506586.924747 60052695.397976 0.051493 30344812.678296 0.998592 1.029071 6.019461 9.763813 10.558354 1.022244 0.098597 0.931565 0.789413 0.985274 0.985274 1.089576 0.983119 0.971131 1.163517 2.028588 1.093814 0.985949 0.998835 1.217486 0.994041 1.016206 0.985271 0.768908 0.755471 1.034756 0.775019 12.494622 7.075896 7.297047 6.047155 4.458175 7.752875 18.666267 4585.141564 2825.529927 7.728613 3.919915 591.241781 6.320163 1.938471 25.752032 21.532927 114.151426 13.326863 12.864043 33.846449 1.715288 1.563544 1.809791 4.343878 1.525849 3.458094 0.726873 0.743507 0.689826 0.736511 0.707738 0.689236 1.331331 0.976017 0.818600 0.859313 1.280733 0.773769 0.850282 1.038872 1.148077 0.954935 1.082265 1.087147 1.009378 1.010349 1.005031 1.006576 1.012890 1.000000 22864.491192 0.000000 660.543161 0.000000 0.000000 56.917661 3934.800217 26.462826 383.863689 32.876200 16.781801 0.073270 10.814873 44.117863 4.442564 143.940409 163.863009 125.728971 2.566277 606.230479 43378.503139 77794.478317 581.554747 5820.563340 789.262380 16078.804690 5802.459591 2.237870 62.964423 14.031290 444.779765 16.664414 425.044536 8.361258 0.027638 64.310345 0.000000 -429.484495 0.000000
1.460000e+02 4192629.657652 735224.366342 1129656.390940 142462.360748 724797.796151 12965.323983 223.107799 9911.340295 2180.444317 136064.853039 136064.853038 4644.444067 66566.774061 225964.811821 1257.432661 1372.466120 26481.844220 9430.026096 2650.907605 18161.455218 391102.057018 213051.835440 149521.798250 10574.086322 818.552547 6958.793840 615.921578 422.130152 23418.406506 156.782055 1274.708764 60.378275 102.034245 1.101400 45661.902217 69687.819336 14.809355 306.196159 4152.252228 7312.615762 4602.594605 34909.864548 20887.653826 1127.174656 58155.989360 6127.574376 61.556327 53755.597078 92760.838426 805.592611 147003.285774 715.156643 25380.393278 13243.038678 1059.373815 1117.220868 4305.386040 132.790630 122.010700 9878.207557 29115.721755 8689.739028 5380.283656 8.874644 2302.736874 48021.595854 54.879137 156.398962 10.281658 619.661996 473.390940 23.569327 553.986564 450.882780 171.636178 381.244621 7506630.843976 60053046.751812 0.000000 21896349.055534 0.997373 1.040279 7.657139 18.347375 10.513465 1.052265 0.115105 0.974180 0.623248 0.956871 0.956871 1.195310 0.960009 0.957866 1.322318 4.172979 1.208372 0.971772 0.996890 1.517353 0.984472 1.032941 0.966471 0.823265 0.553906 0.991049 0.581973 20.239981 15.648572 12.031625 7.659125 4.224169 15.845617 34.270534 11768.658306 3030.979168 11.486367 5.593486 634.523615 16.958412 3.315513 56.236163 54.074443 319.632163 37.536714 27.021532 96.331299 1.930050 1.745070 2.160799 7.976796 1.193756 4.147727 0.640619 0.738922 0.470466 0.681357 0.608354 0.585383 2.281347 1.055287 0.916507 0.679447 1.315444 0.721466 0.769481 0.993993 3.517660 0.964870 1.214186 1.158713 1.018597 1.020514 1.013227 0.890287 0.879181 1.000000 22864.624967 0.000000 476.637762 0.000000 0.000000 63.323179 4209.964918 15.884059 408.114182 23.107013 17.979136 0.081000 11.619011 46.468624 4.848730 154.052099 183.415487 57.444434 2.731962 642.467825 47891.830389 84798.110408 757.038307 5840.802214 469.868819 17192.800335 0.000000 3.012826 363.765673 14.031290 0.088134 0.000000 0.000500 14.215242 0.372916 69.017241 0.000000 -765.910901 0.000000
2.190000e+02 4186933.023155 742626.269139 939588.941255 303328.347688 720066.264859 13524.563000 316.078021 10314.454835 1877.013591 131830.679195 131830.679194 5174.040225 63817.015414 223659.396667 1370.682742 2993.776556 29487.085783 9285.766119 2644.249715 23551.963273 385321.287440 216982.242484 146131.148088 11645.991774 929.960076 7298.544296 444.646613 509.668699 34390.080930 192.915558 779.833441 74.626858 157.024925 1.494909 59833.092050 54792.925944 16.876396 347.203258 3116.451571 12782.707186 6591.486299 55298.327607 35584.964815 1915.232622 100213.287148 9691.733814 105.485201 59345.584339 101845.852508 712.234903 203604.130594 799.623980 24653.739275 11036.039360 1091.070535 1087.386231 3957.144731 113.464190 104.598400 21217.882397 32375.438104 7729.231286 2647.591140 8.641467 2134.711830 41273.888785 128.891097 205.305314 11.810297 681.527680 353.633732 21.531401 547.743447 468.008052 174.631777 381.285158 7506686.243606 60053489.948850 0.000000 22466654.425268 0.996018 1.050752 6.368807 39.064906 10.444832 1.097653 0.163070 1.013802 0.536517 0.927094 0.927094 1.331609 0.920352 0.948093 1.441412 9.102569 1.345502 0.956906 0.994386 1.967719 0.969921 1.051996 0.944555 0.906720 0.629294 1.039435 0.420138 24.437214 22.980029 14.804549 4.685652 5.221024 24.385507 46.514717 15421.066175 2383.145558 13.089597 6.342590 476.238439 29.643896 4.748226 89.079857 92.123184 543.101234 64.682546 42.738853 165.076881 2.130754 1.915982 1.910391 11.048110 1.334751 4.028975 0.533857 0.761031 0.457902 0.626246 0.519814 0.501842 4.900216 1.173434 0.815202 0.334350 1.280881 0.668822 0.661358 2.334528 4.617641 1.108324 1.335407 0.865585 0.930524 1.009014 1.051711 0.905825 0.879275 1.000000 22864.793710 0.000000 489.052119 9791.717635 677.122119 83.019769 2996.097383 36.447922 288.124532 24.692548 12.914645 0.152644 8.322655 33.887004 4.617939 109.671296 7529.303476 4010.678294 236.928791 10710.309023 55963.581464 96876.991462 608.875547 33805.297872 524.482972 12227.237798 0.000000 8.790031 335.298684 13.974375 0.000000 0.005850 0.000000 13.711761 0.507152 68.068966 0.000000 -1680.429530 0.000000
2.920000e+02 4181041.184870 745432.984650 536236.793198 119706.682817 716061.180999 14081.043521 476.505126 11214.100145 1847.639020 130676.240637 130676.240636 5783.597279 58848.777509 226763.677176 1348.414619 6699.450230 32796.107362 9163.093582 2639.869802 30593.153549 376246.117760 221088.337022 142637.772380 9351.351103 737.167844 8418.050380 344.376310 573.028500 40611.812267 203.980421 707.250540 80.396249 179.756537 1.679107 74252.867567 62923.119450 18.980737 380.784268 2354.225392 6719.076307 3813.060946 62272.424181 34277.370454 2193.413673 116035.257492 11981.241737 132.848884 51229.366841 87790.781544 225.349252 131287.836285 382.309655 26183.746139 9470.310540 1076.370487 1072.301486 3663.960336 97.746246 89.588559 34044.219702 34537.260587 5300.733328 1290.204978 8.464234 1969.654272 35586.360962 131.189185 216.371572 10.953803 751.144447 321.939945 20.805441 560.210017 473.387327 178.084514 381.322385 7506736.066279 60053888.530233 0.000000 25979735.746560 0.994616 1.054724 3.634769 15.416727 10.386737 1.142817 0.245837 1.102227 0.528121 0.918976 0.918976 1.488487 0.848702 0.961252 1.417995 20.369659 1.496493 0.944264 0.992739 2.555997 0.947077 1.071904 0.921975 0.728067 0.498834 1.198871 0.325395 27.475142 27.137495 15.653678 4.249535 5.624661 27.915659 52.246146 19137.543209 2736.757529 14.721756 6.956036 359.759361 15.581957 2.746766 100.314402 88.738053 621.984848 74.894818 52.835183 207.899110 1.839348 1.651570 0.604443 7.124033 0.638160 4.279013 0.458117 0.750777 0.451550 0.579847 0.447805 0.429828 7.862426 1.251788 0.559069 0.162933 1.254611 0.617108 0.570223 2.376152 4.866538 1.027947 1.471816 0.788008 0.899150 1.031979 1.063799 0.923735 0.879361 1.000000 22864.945466 0.000000 565.524558 0.000000 0.000000 354.181164 26265.383053 138.835395 488.744790 37.369053 73.498134 0.728354 41890.330965 38959.328618 12.445722 225.249777 48327.877992 25170.061257 1578.389547 68813.582364 45121.965898 78325.302758 209.744511 104570.857106 365.163313 15441.893028 0.000000 5.180807 0.000000 0.000000 189.019442 144.987011 0.000000 3.790103 0.665119 65.034483 0.000000 -2714.844755 0.000000
3.650000e+02 4175491.855120 744811.710920 41760.875844 38367.608322 736113.737848 14508.787038 450.045068 10891.710124 1878.370592 129849.272611 129849.272610 6374.470032 51088.827899 231954.206589 1244.747491 14190.286760 35750.585290 9049.682027 2636.837515 37419.870857 363460.844081 225006.218715 139528.885171 7572.218482 568.418879 8906.658664 1422.514876 599.196383 43357.512851 229.304636 775.726389 87.636502 195.939935 1.918863 94405.933997 68616.538041 20.214016 411.314950 2130.372995 7067.097876 4041.238931 64206.689199 29408.695985 1638.558036 72613.292949 11526.688609 146.586413 17564.393330 23945.272958 244.426420 134430.477020 403.856209 29108.375767 8605.996527 1055.043772 1074.094051 3456.547124 86.652448 78.728212 43420.321472 37498.821115 3648.338695 779.797411 21.754171 1814.659071 31778.476458 132.920458 224.989842 10.778125 784.864171 379.808601 21.194123 568.896663 476.613703 181.891115 378.065811 7506755.375456 60054043.003650 0.000000 31808638.264581 0.993296 1.053845 0.283067 4.941269 10.677607 1.177532 0.232186 1.070540 0.536905 0.913160 0.913160 1.640556 0.736790 0.983255 1.308978 43.145526 1.631307 0.932577 0.991599 3.126355 0.914894 1.090899 0.901880 0.589549 0.384643 1.268457 1.344107 28.729820 28.972218 17.597086 4.660975 6.131201 30.428893 59.706235 24331.688462 2984.385210 15.678307 7.513760 325.551508 16.389041 2.911136 103.430302 76.133915 464.644806 46.868163 50.830683 229.397371 0.630635 0.450472 0.655612 7.294561 0.674126 4.756963 0.416307 0.735902 0.452305 0.547022 0.396981 0.377722 10.027813 1.359128 0.384790 0.098476 3.224511 0.568547 0.509207 2.407510 5.060377 1.011461 1.537888 0.929653 0.915948 1.047980 1.071050 0.943480 0.871851 1.000000 22865.004280 0.000000 692.407585 0.000000 0.000000 365.480392 26978.224759 148.107214 525.445777 39.726607 75.428440 0.747326 43356.094845 43298.891942 12.946577 236.008698 48742.903489 25709.788464 1609.948234 70184.188125 16908.911773 23335.930088 226.521015 85773.930192 362.078280 16484.300687 0.000000 0.000000 0.000000 0.000000 390.785676 147.376740 304.854248 3.907879 0.056667 58.586207 0.000000 -3471.271082 0.000000
4.380000e+02 4170492.513671 743986.318610 856686.148505 74146.897645 763549.715314 14900.401383 375.953935 10483.457463 1797.790483 128801.190637 128801.190636 6962.094080 42450.292707 235451.159722 1139.357191 27026.810352 37427.341463 8876.621245 2632.867993 44097.231289 349917.689185 228655.014190 136044.551836 6936.708394 463.324437 9387.273509 1607.657777 662.986175 42545.727113 314.332701 1260.154078 106.851458 191.026249 3.853083 72253.226114 80583.651072 23.336661 438.843333 3087.182472 8705.105541 4544.182865 59140.781404 43920.309528 2209.136149 96153.154937 14956.579289 183.502367 21487.437829 26397.483940 273.038960 130611.321377 462.065861 30939.277982 7837.578868 1020.305772 1091.207936 3240.661531 77.236138 70.207330 48974.832103 38263.217263 3157.168724 734.719943 47.414586 1663.912635 29051.268977 135.355903 230.062135 10.407144 830.929885 405.938243 21.339867 578.314919 477.061772 184.531150 388.762546 7506762.605354 60054100.842835 0.000000 30223396.125026 0.992107 1.052677 5.806868 9.549195 11.075576 1.209316 0.193961 1.030413 0.513872 0.905789 0.905789 1.791789 0.612207 0.998079 1.198150 82.174939 1.707817 0.914743 0.990106 3.684235 0.880804 1.108590 0.879358 0.540070 0.313527 1.336905 1.519045 31.788365 28.429769 24.122232 7.571673 7.475513 29.665813 119.890312 18622.166147 3504.878901 18.100279 8.016639 471.765701 20.187683 3.273436 95.269651 113.701918 626.443260 62.061939 65.955902 287.168229 0.771489 0.496605 0.732358 7.087323 0.771291 5.056173 0.379135 0.711672 0.459512 0.512857 0.353842 0.336841 11.310614 1.386834 0.332987 0.092784 7.028026 0.521317 0.465507 2.451621 5.174461 0.976646 1.628151 0.993610 0.922247 1.065330 1.072056 0.957174 0.896518 1.000000 22865.026302 0.000000 657.900176 0.000000 0.000000 491.406314 34902.966455 231.504566 692.089251 47.053178 91.745205 0.901350 58981.662966 54324.230219 16.944191 282.314109 50792.004826 26529.319588 1682.696683 73382.836667 20655.360857 26204.445955 262.310978 87151.644804 421.431400 18198.641411 585.330370 2.263225 57.609004 12.828862 390.785676 2.733358 301.324757 5.584248 0.050470 63.965517 0.000000 -3918.368489 0.000000
5.110000e+02 4165450.986449 745130.281963 1089777.209280 138972.966246 753581.527551 15112.970655 540.768208 11255.067278 1631.941183 127464.603098 127464.603097 7661.472201 36625.616592 234465.395303 1016.139278 47458.440290 36676.272252 8536.353248 2624.110699 48791.811517 313408.920769 232431.587768 131901.017393 7071.234860 407.098856 9225.945484 1358.742571 900.590497 60021.208857 467.671858 1867.651622 112.631747 274.778709 10.919887 111651.334122 90658.354382 32.113290 560.142768 5095.449779 12102.344624 5602.013988 73107.385977 64149.560588 3294.745084 141553.172409 20032.254547 247.880697 26397.130273 29715.111486 327.482624 169987.899104 441.984494 33954.777771 7152.356838 1003.361530 1063.971288 3094.184118 67.967504 61.238363 72159.349108 42812.238435 4322.868613 685.853259 48.817536 1501.363157 58375.612562 129.561973 1759.059658 10.505405 886.489835 423.303345 21.484673 606.866862 467.212754 178.478937 346.988031 7506804.121993 60054432.975941 0.000000 21874657.924498 0.990907 1.054295 7.386827 17.897984 10.930984 1.226568 0.278992 1.106254 0.466467 0.896390 0.896390 1.971783 0.528205 0.993900 1.068574 144.297251 1.673546 0.879678 0.986813 4.076458 0.788905 1.126900 0.852575 0.550544 0.275479 1.313929 1.283850 43.180839 40.107179 35.889645 11.221839 7.879912 42.672322 339.776943 28776.427108 3943.064744 24.907570 10.232496 778.657711 28.066092 4.035452 117.768399 166.071873 934.288660 91.365325 88.338743 387.915762 0.947767 0.559018 0.878390 9.224003 0.737771 5.548974 0.345988 0.699853 0.448042 0.489676 0.311380 0.293809 16.665019 1.551711 0.455933 0.086613 7.235978 0.470389 0.935390 2.346679 39.564031 0.985868 1.737017 1.036114 0.928505 1.117926 1.049924 0.925781 0.800183 1.000000 22865.152759 0.000000 476.165592 0.000000 0.000000 633.526784 43668.683983 310.963735 871.757297 42.703780 109.567073 1.073076 77870.005281 65372.477260 21.440401 332.620815 52789.422720 27224.242888 1752.304784 76429.970480 24998.485739 29252.923039 319.319123 88009.070682 366.639179 19954.848100 0.000000 3.058167 329.827830 12.828862 0.077435 0.000000 0.000354 7.337275 0.159486 68.448276 0.000000 -5791.522041 0.000000
5.840000e+02 4160103.373516 747112.098258 912620.682681 295595.139912 740651.746554 15464.636159 918.194605 12126.699191 1540.374395 125914.342827 125914.342826 8567.249494 29015.337817 234098.180358 818.067531 84159.497786 36455.153916 8025.436157 2610.531302 57764.794859 231856.744846 236738.110116 126817.077561 7408.142141 325.319296 9878.463064 1125.592493 1082.131656 75617.261926 593.653961 1919.473916 128.047276 355.396292 18.420748 128378.794322 89935.826195 37.945445 624.967426 6575.073861 16026.208701 6624.232167 87005.366398 84252.027413 4371.564692 188868.823172 25545.041280 324.778896 31700.418134 32981.936886 325.061759 206020.215092 503.889332 31746.117721 6149.695391 992.702698 1071.202495 2936.708018 58.402018 53.686389 115108.027227 45386.125649 5066.991907 696.242709 46.665215 1325.715329 56842.471745 1102.304650 2283.745556 30.823293 960.379674 322.202187 20.006404 716.647674 481.015600 183.886268 347.022571 7506857.494742 60054859.957940 0.000000 22439286.380313 0.989635 1.057099 6.186008 38.068966 10.743433 1.255109 0.473713 1.191926 0.440294 0.885488 0.885488 2.204897 0.418452 0.992343 0.860281 255.886711 1.663456 0.827028 0.981706 4.826133 0.583624 1.147779 0.819714 0.576774 0.220140 1.406858 1.063551 51.885239 50.528723 45.557648 11.533215 8.958409 55.191995 573.169459 33087.674644 3911.639340 29.431081 11.416690 1004.765464 37.165778 4.771814 140.156600 218.113606 1239.641676 121.905155 112.649169 508.256007 1.138177 0.620475 0.871896 11.179214 0.841104 5.188029 0.297485 0.692418 0.451087 0.464754 0.267557 0.257577 26.583908 1.645000 0.534416 0.087925 6.916950 0.415357 0.910824 19.965392 51.365045 2.892576 1.881799 0.788650 0.864618 1.320157 1.080942 0.953829 0.800262 1.000000 22865.315328 0.000000 488.456373 6135.211532 273.250243 780.461951 51395.563779 428.488258 911.854558 50.350432 121.695905 2.910228 97755.600804 76162.701554 25.448013 329.058949 58896.420984 35538.062902 2137.010790 93422.166955 30798.781255 32716.842063 300.189951 115163.925389 423.996970 15455.874027 0.000000 21.294747 306.730770 12.781124 0.000000 0.007969 0.000000 6.348301 0.186117 67.551724 0.000000 -9255.243498 0.000000
6.570000e+02 4155044.432189 747959.038863 520081.402738 117494.331711 729115.604530 15819.721097 1602.384510 13318.551049 1535.071898 124823.571692 124823.571691 9607.584987 21754.594517 239006.812633 684.654239 136420.026269 38142.546828 7175.223148 2598.539330 65237.048852 147812.718547 241235.628896 118978.437148 6756.947911 266.111671 11675.564942 974.448922 1213.138492 83383.538576 650.156493 1818.837278 89.008263 271.177552 18.464102 148516.612220 103240.515620 42.710235 578.714307 6061.147060 3585.533930 1340.739627 92943.728600 90975.206182 4789.559479 207324.499727 28177.431414 357.084627 33883.495536 29826.423009 123.355127 120060.096487 321.050730 22906.530383 5253.585899 970.446980 1078.801388 2787.720810 49.455699 47.237671 157956.876775 46337.229751 4914.838201 1024.936383 44.721377 1149.533134 54804.165235 1106.138467 2296.988963 30.006790 1041.321789 280.476432 19.306886 792.484981 491.340957 205.937718 347.055845 7506905.554485 60055244.435884 0.000000 25898118.325018 0.988432 1.058298 3.525263 15.131804 10.576097 1.283928 0.826698 1.309072 0.438778 0.877817 0.877817 2.472642 0.313739 1.013151 0.719983 414.784698 1.740452 0.739412 0.977197 5.450425 0.372070 1.169584 0.769047 0.526075 0.180075 1.662796 0.920738 58.166657 55.718280 49.893714 10.928537 6.227172 42.113073 574.518440 38277.889820 4490.309140 33.126726 10.571754 926.230088 8.315077 0.965812 149.722685 235.518727 1358.172178 133.817350 124.257550 558.812192 1.216559 0.561112 0.330869 6.514785 0.535905 3.743442 0.254137 0.676895 0.454287 0.441176 0.226571 0.226637 36.479741 1.679473 0.518368 0.129434 6.628825 0.360158 0.878163 20.034831 51.662910 2.815952 2.040399 0.686518 0.834387 1.459859 1.104145 1.068211 0.800339 1.000000 22865.461714 0.000000 563.747917 0.000000 0.000000 1079.711954 74285.499096 597.940822 1582.237106 66.911540 187.453256 12.384191 134022.613430 96849.518030 37.145664 478.157428 84921.002791 76865.379945 4043.239180 177759.898011 32189.674271 27664.509774 114.232809 100189.824028 317.443234 17927.180869 0.000000 17.627358 0.000000 0.000000 195.827995 161.398332 0.000000 1.502397 0.229446 64.241379 0.000000 -12710.914084 0.000000
